kickX,kickY,kickAngle,goalZ,outcome,kickPleas,kickArou,goalPleas,goalArou
1.084655,0.109451,26.000000,-0.503695,O,-0.634825,-0.050546,1.004360,-0.834036
1.053694,-0.049242,-34.000000,-0.002807,O,-0.700005,-0.220013,0.497458,0.990755
1.044233,-0.024043,-26.000000,0.303935,O,-0.591305,0.062606,0.804022,-0.105534
1.096302,0.124564,34.000000,0.251351,O,-0.765642,-0.390668,0.249255,0.088200
1.074955,0.104184,20.000000,-0.346705,L,-0.400000,0.241455,0.846693,-0.260700
1.052260,0.137783,8.000000,0.005013,G,0.656949,0.676613,-0.328475,0.981500
1.040967,0.032216,-10.000000,-0.449308,G,1.000000,0.730864,-0.719008,-0.635897
1.091412,0.111183,28.000000,0.302499,O,-0.665786,-0.131044,0.197246,-0.100924
1.050660,-0.019194,-24.000000,-0.404753,R,-0.400000,0.236484,0.095426,-0.471179
1.076201,0.108278,22.000000,-0.196333,O,-0.576521,0.101046,0.696852,0.284174
1.049045,-0.005658,-22.000000,0.353614,R,-0.400000,0.342346,0.853644,-0.285978
1.013742,0.047356,-22.000000,0.295899,R,-0.400000,0.288109,0.796106,-0.076748
1.041399,0.133346,4.000000,0.045705,G,0.464146,0.813752,-0.232073,0.833363
1.050146,-0.032397,-30.000000,-0.000750,O,-0.636918,-0.055986,0.499590,0.998511
1.047610,0.001875,-18.000000,0.099398,G,1.000000,0.393951,-0.506842,0.639245
1.068046,0.094017,18.000000,-0.301719,L,-0.400000,0.320313,0.801670,-0.096983
1.028976,0.109478,-6.000000,-0.445427,G,1.000000,0.941646,-0.503904,-0.620185
1.071882,0.090159,16.000000,-0.300046,L,-0.400000,0.372444,0.799712,-0.089863
1.064087,0.086234,12.000000,-0.001163,G,0.964380,0.516888,-0.482190,0.996646
1.043340,0.029339,-10.000000,0.395425,G,0.235751,0.722479,-0.117875,-0.437806
1.089453,0.113381,28.000000,-0.351991,O,-0.684051,-0.178532,0.852096,-0.280349
1.070715,0.094339,16.000000,0.501143,G,1.000000,0.378326,-1.000000,-0.835837
1.047786,0.000790,-20.000000,0.053315,R,-0.400000,0.365497,0.553579,0.805168
1.045727,-0.037981,-30.000000,-0.498128,O,-0.636854,-0.055820,0.001746,-0.811831
1.073261,0.101129,20.000000,-0.098115,L,-0.400000,0.244339,0.598053,0.643442
1.063133,0.155707,12.000000,0.148518,G,1.000000,0.570856,-0.577740,0.459653
1.044058,0.069941,2.000000,0.098463,G,0.326159,0.935622,-0.163080,0.641084
1.047596,0.070734,2.000000,-0.151877,D,-0.300000,0.733620,1.000000,0.448269
1.057241,0.070850,6.000000,0.350435,G,1.000000,0.728590,-0.622503,-0.276702
1.058810,0.074927,6.000000,-0.152243,G,0.352237,0.671191,-0.176118,0.444760
1.050157,-0.046509,-34.000000,-0.097288,O,-0.706883,-0.237896,0.402200,0.644363
1.047100,0.066986,0.000000,-0.253671,G,0.309957,0.901513,-0.154979,0.078305
1.050787,-0.024442,-26.000000,-0.100295,O,-0.576444,0.101246,0.399795,0.635617
1.055586,-0.039996,-32.000000,-0.497131,O,-0.670380,-0.142987,0.002776,-0.808086
1.094503,0.121393,32.000000,0.445598,O,-0.736197,-0.314112,0.055359,-0.616875
1.014828,0.065578,-16.000000,-0.254063,R,-0.400000,0.372344,0.245983,0.076303
1.062102,0.153615,14.000000,-0.400214,G,0.288721,0.455572,-0.144360,-0.454789
1.071706,0.092999,18.000000,0.395077,L,-0.400000,0.312223,0.105455,-0.434709
1.000926,-0.004006,-36.000000,0.454532,O,-0.711016,-0.248643,0.954812,-0.653863
1.046938,0.020822,-12.000000,-0.148762,G,1.000000,0.611772,-0.536985,0.459068
1.046132,-0.008383,-22.000000,0.395247,R,-0.400000,0.314438,0.894996,-0.436348
1.023741,0.093458,-10.000000,-0.052806,G,0.661494,0.722205,-0.330747,0.807447
1.052515,0.077788,8.000000,0.248394,G,1.000000,0.604821,-0.643024,0.098745
1.048626,-0.014398,-24.000000,0.154037,R,-0.400000,0.272560,0.654293,0.438934
1.033830,0.120753,-2.000000,0.493972,G,1.000000,0.903769,-0.591497,-0.800966
1.042107,-0.005840,-22.000000,0.351508,R,-0.400000,0.335213,0.851499,-0.278177
1.089322,0.170743,22.000000,-0.503328,O,-0.579370,0.093637,1.003377,-0.830462
1.083649,0.104416,24.000000,0.152281,O,-0.589783,0.066565,0.347683,0.446121
1.094856,0.116463,30.000000,-0.104344,O,-0.695274,-0.207712,0.604491,0.620032
1.047049,0.041826,-6.000000,0.251403,G,0.304832,0.901488,-0.152416,0.087532
1.050392,-0.041976,-34.000000,0.151655,O,-0.751433,-0.353725,0.651633,0.448607
1.040518,0.003278,-18.000000,-0.500303,G,1.000000,0.412111,-1.000000,-0.820215
1.046251,-0.019480,-24.000000,-0.047329,R,-0.400000,0.273960,0.452546,0.827442
1.070050,0.162078,16.000000,0.054805,L,-0.400000,0.388969,0.445466,0.801696
1.081393,0.108585,24.000000,0.348923,O,-0.599906,0.040245,0.150959,-0.269240
0.995223,0.007981,-32.000000,-0.047068,O,-0.681597,-0.172153,0.453024,0.829179
1.050982,-0.017581,-26.000000,-0.047639,O,-0.662792,-0.123260,0.452440,0.827053
1.093358,0.119949,32.000000,-0.246562,O,-0.750900,-0.352341,0.746518,0.103571
1.094421,0.131461,34.000000,0.101943,O,-1.022877,-1.059480,0.397264,0.626413
1.046024,0.014258,-14.000000,0.498590,G,1.000000,0.923175,-0.575548,-0.813538
1.085194,0.109182,26.000000,-0.454489,O,-0.631085,-0.040821,0.954966,-0.654423
1.062606,0.092546,14.000000,-0.152124,G,0.846011,0.424980,-0.423005,0.447219
1.100953,0.120762,34.000000,0.245456,O,-0.789189,-0.451890,0.254352,0.106733
1.042739,-0.003601,-20.000000,-0.003239,R,-0.400000,0.334034,0.496892,0.988699
1.067706,0.155023,10.000000,-0.303429,G,0.378274,0.507217,-0.189137,-0.104166
1.065559,0.094474,18.000000,-0.351979,L,-0.400000,0.339894,0.852505,-0.281836
1.064590,0.158720,12.000000,0.451729,G,1.000000,0.497068,-0.954576,-0.642344
1.079195,0.099856,22.000000,0.154862,O,-0.575427,0.103891,0.345407,0.437845
1.042248,0.038932,-8.000000,-0.195219,G,0.884459,0.753356,-0.442230,0.288780
1.043443,0.048011,-4.000000,-0.399703,G,0.951935,0.923375,-0.475967,-0.452155
1.043994,0.037750,-8.000000,-0.103763,G,0.670638,0.768744,-0.335319,0.621590
1.056931,0.077244,6.000000,0.497326,G,1.000000,0.777421,-0.719724,-0.807800
1.081152,0.098916,22.000000,0.245460,O,-0.555730,0.155101,0.254152,0.106009
1.048134,-0.014436,-24.000000,-0.248528,R,-0.400000,0.269429,0.250548,0.092903
1.007282,0.023512,-30.000000,0.255577,O,-0.663893,-0.126122,0.755211,0.071962
1.066236,0.091535,14.000000,-0.448371,G,0.299666,0.402064,-0.149833,-0.629465
1.100796,0.124832,34.000000,-0.346969,O,-0.691901,-0.198943,0.846760,-0.260946
1.074769,0.094184,18.000000,0.096463,L,-0.400000,0.322621,0.403318,0.648429
1.007132,0.004362,-34.000000,-0.254547,O,-0.698069,-0.214981,0.245945,0.076163
