@relation outTestNew

@attribute kickX numeric
@attribute kickZ numeric
@attribute kickAngle numeric
@attribute goalZ numeric
@attribute Outcome {O,L,G,R,D}
@attribute KickPleas numeric
@attribute KickArou numeric
@attribute GoalPleas numeric
@attribute GoalArou numeric

@data
1.046148,0.065809,0,-0.499012,G,0.929748,0.965515,-0.464874,-0.815849
1.064132,0.080832,10,-0.051078,G,0.777174,0.559711,-0.388587,0.811991
1.089158,0.108725,28,-0.298108,O,-0.675019,-0.155048,0.798042,-0.08379
1.09282,0.170593,24,0.197286,O,-0.596596,0.048851,0.302785,0.282856
1.068187,0.08868,14,0.195037,G,1,0.434104,-0.761029,0.290424
1.078495,0.107978,22,-0.200507,O,-0.564087,0.133374,0.699848,0.273281
1.049769,-0.044957,-34,-0.503452,O,-0.697109,-0.212484,-0.003273,-0.830084
1.07413,0.100893,20,0.401011,L,-0.4,0.244078,0.099382,-0.456792
1.073856,0.159018,14,-0.097154,L,-0.4,0.388019,0.597387,0.645864
1.102052,0.117874,34,0.454629,O,-0.749923,-0.3498,0.045736,-0.651868
1.040406,-0.003573,-20,0.096298,R,-0.4,0.377288,0.596698,0.648371
1.076046,0.099712,22,-0.446003,O,-0.572081,0.11259,0.945678,-0.620647
1.054162,-0.04274,-34,-0.204121,O,-0.732653,-0.304898,0.296004,0.258196
1.082721,0.108067,24,-0.254723,O,-0.624874,-0.024673,0.755221,0.071923
1.042949,0.007442,-16,-0.402736,G,1,0.472856,-0.929661,-0.463698
1.047406,0.057066,-2,0.298143,G,0.531193,0.966774,-0.265597,-0.086628
1.042191,0.038916,-8,-0.149866,G,0.775442,0.761182,-0.387721,0.458533
1.053797,0.057505,0,0.247607,G,0.664353,0.915602,-0.332176,0.098989
1.039331,-0.012823,-22,0.495559,O,-0.54778,0.175771,0.996325,-0.804817
1.046863,-0.005341,-22,-0.099597,R,-0.4,0.251093,0.400323,0.637538
1.100165,0.129007,36,-0.097381,O,-0.802507,-0.486519,0.597204,0.64653
1.048958,-0.018954,-26,-0.152859,O,-0.592411,0.059731,0.346627,0.442281
1.047197,0.040282,-8,-0.197074,G,0.743547,0.825375,-0.371773,0.283096
1.040885,0.014581,-14,0.251025,G,0.432631,0.532639,-0.216316,0.087109
1.044688,-0.000938,-18,0.298116,G,0.600298,0.40163,-0.300149,-0.084438
1.054103,-0.033836,-30,-0.354495,O,-0.638354,-0.05972,0.145375,-0.289546
1.075449,0.108233,24,0.047075,O,-0.587678,0.072038,0.45305,0.829271
1.054611,0.063884,0,0.302688,G,0.795259,0.905112,-0.397629,-0.100878
1.076292,0.103779,22,-0.002965,L,-0.4,0.265788,0.502489,0.99095
1.057786,0.148006,10,0.103173,G,1,0.594114,-0.509095,0.624695
1.048554,-0.013279,-24,0.40385,O,-0.550261,0.169321,0.904145,-0.469618
1.047298,-0.006559,-20,0.297404,R,-0.4,0.381601,0.797283,-0.081028
1.049993,-0.019869,-24,0.396769,R,-0.4,0.22479,0.897229,-0.44447
1.042367,0.003503,-18,-0.50422,G,1,0.424446,-1,-0.835182
1.100126,0.124319,36,-0.098252,O,-0.827393,-0.551221,0.599772,0.637194
1.060578,0.090209,14,0.154593,G,1,0.434888,-0.718959,0.440555
1.046595,0.00994,-16,-0.198337,G,1,0.509631,-0.689436,0.27612
1.042322,-0.022632,-26,-0.496616,O,-0.576035,0.10231,0.003605,-0.805071
1.051625,0.047428,-6,0.250795,G,0.24493,0.871507,-0.122465,0.087428
1.047402,0.005221,-16,-0.002022,G,0.973268,0.515445,-0.486634,0.99244
1.041916,-0.006178,-20,-0.001687,R,-0.4,0.260597,0.498665,0.995147
0.998576,0.002921,-34,0.298814,O,-0.723689,-0.281592,0.798251,-0.08455
1.038869,0.002753,-18,0.252475,R,-0.4,0.353937,0.752698,0.081098
1.009774,0.035604,-26,-0.203013,O,-0.624374,-0.023372,0.296716,0.260787
1.053759,0.070528,6,-0.347149,D,-0.3,0.746045,1,-0.263767
1.071714,0.103895,20,0.44559,L,-0.4,0.284859,0.054529,-0.619894
1.047095,0.138574,6,-0.149272,G,0.347202,0.676961,-0.173601,0.456588
1.070049,0.103289,20,-0.502489,L,-0.4,0.24851,1.0023,-0.826545
1.036793,0.135276,2,-0.445653,G,0.648138,0.878225,-0.324069,-0.621251
1.052232,0.052555,-2,0.403202,G,0.810245,0.998022,-0.405123,-0.465979
1.046599,-0.03142,-28,-0.502473,O,-0.585703,0.077173,-0.002509,-0.827306
1.076974,0.104279,20,0.250769,O,-0.566356,0.127474,0.248911,0.086948
1.099737,0.119443,34,-0.15284,O,-0.762216,-0.381763,0.652947,0.44383
1.050912,0.058832,-2,0.198046,G,0.298503,0.951966,-0.149252,0.282598
1.049125,-0.044048,-34,0.246766,O,-0.71773,-0.266098,0.747036,0.101687
1.0493,-0.009368,-22,0.403205,R,-0.4,0.30638,0.903614,-0.467687
1.053328,0.147321,10,0.202027,G,1,0.556921,-0.645497,0.263935
1.044836,0.039846,-6,-0.354963,G,1,0.825875,-0.529313,-0.291592
1.041052,0.002653,-20,0.148934,R,-0.4,0.382659,0.648701,0.45927
1.043456,-0.022154,-28,-0.102464,O,-0.658185,-0.11128,0.397475,0.627182
1.05167,0.06684,2,-0.200916,D,-0.3,0.838798,1,0.269165
1.070443,0.098025,20,-0.449901,L,-0.4,0.238303,0.949875,-0.635908
1.003375,-0.000363,-34,-0.097718,O,-0.714709,-0.258242,0.402128,0.644103
1.050428,-0.012686,-22,0.301023,R,-0.4,0.243054,0.800703,-0.093465
1.029075,0.116245,-4,-0.048175,D,-0.3,0.938056,1,0.824254
1.050281,0.047325,-4,0.452532,G,0.25572,0.675371,-0.12786,-0.645416
1.047603,0.00833,-16,-0.097131,G,1,0.463905,-0.633048,0.647445
1.06048,0.08766,14,0.346057,G,1,0.425882,-0.920265,-0.258715
1.040602,-0.007291,-20,-0.153863,R,-0.4,0.345958,0.34575,0.439091
1.00508,0.017549,-28,-0.349428,O,-0.607546,0.020381,0.15054,-0.270763
1.076032,0.102096,24,0.302743,O,-0.598337,0.044325,0.197248,-0.100918
1.04878,-0.043058,-32,-0.047146,O,-0.672428,-0.148313,0.452931,0.828841
1.044343,-0.029583,-28,-0.399804,O,-0.598171,0.044756,0.100172,-0.453919
1.088065,0.11332,28,0.245538,O,-0.691924,-0.199003,0.253868,0.104974
1.064558,0.09976,18,0.00479,L,-0.4,0.373298,0.495007,0.981844
